E [keV] 	 mu/rho (tissue)    	 mu/rho (bone)      	 mu/rho (water) 
292.0  	 0.11873487507454371 	 0.11254275821297857 	 0.11984641405204616 
293.0  	 0.11858419423678843 	 0.11238965914363785 	 0.11969433861798218 
294.0  	 0.11843408522057383 	 0.1122372453049817 	 0.11954283973283576 
295.0  	 0.11828454401168913 	 0.11208551016320269 	 0.11939191335412706 
296.0  	 0.11813556663781608 	 0.11193444727579098 	 0.11924155548148388 
297.0  	 0.11798714916794648 	 0.11178405028989927 	 0.11909176215605799 
298.0  	 0.11783928771181063 	 0.11163431294074391 	 0.11894252945995254 
299.0  	 0.11769197841931471 	 0.11148522905004003 	 0.11879385351565813 
300.0  	 0.11754521747998874 	 0.11133679252447069 	 0.11864573048549953 
301.0  	 0.11739900119232136 	 0.11118899751004342 	 0.11849815664433182 
302.0  	 0.11725332616938643 	 0.1110418388502111 	 0.11835112859509 
303.0  	 0.11710818912271158 	 0.11089531160316711 	 0.11820464304228613 
304.0  	 0.11696358679123361 	 0.1107494108831142 	 0.11805869671757001 
305.0  	 0.1168195159410153 	 0.11060413185942583 	 0.11791328637945446 
306.0  	 0.11667597336496544 	 0.11045946975582367 	 0.11776840881304446 
307.0  	 0.11653295588256239 	 0.11031541984956969 	 0.11762406082976853 
308.0  	 0.11639046033958053 	 0.11017197747067384 	 0.11748023926711401 
309.0  	 0.11624848360782064 	 0.11002913800111608 	 0.11733694098836472 
310.0  	 0.11610702258484235 	 0.10988689687408246 	 0.11719416288234168 
311.0  	 0.11596607419370097 	 0.10974524957321566 	 0.11705190186314712 
312.0  	 0.11582563538268674 	 0.10960419163187886 	 0.11691015486991121 
313.0  	 0.11568570312506676 	 0.10946371863243279 	 0.1167689188665411 
314.0  	 0.11554627441883136 	 0.10932382620552672 	 0.11662819084147413 
315.0  	 0.11540734628644163 	 0.10918451002940119 	 0.11648796780743226 
316.0  	 0.1152689157745816 	 0.10904576582920383 	 0.1163482468011807 
317.0  	 0.11513097995391203 	 0.1089075893763174 	 0.11620902488328798 
318.0  	 0.11499353591882795 	 0.10876997648769986 	 0.11607029913789002 
319.0  	 0.11485658078721875 	 0.10863292302523585 	 0.11593206667245601 
320.0  	 0.11472011170023082 	 0.10849642489509997 	 0.11579432461755693 
321.0  	 0.1145841258220334 	 0.10836047804713128 	 0.11565707012663734 
322.0  	 0.11444862033958715 	 0.10822507847421867 	 0.11552030037578921 
323.0  	 0.11431359246241485 	 0.10809022221169699 	 0.11538401256352837 
324.0  	 0.11417903942237534 	 0.10795590533675374 	 0.11524820391057344 
325.0  	 0.11404495847344033 	 0.10782212396784649 	 0.11511287165962802 
326.0  	 0.1139113468914729 	 0.10768887426412962 	 0.11497801307516396 
327.0  	 0.11377820197400937 	 0.10755615242489153 	 0.11484362544320825 
328.0  	 0.11364552104004347 	 0.1074239546890016 	 0.11470970607113186 
329.0  	 0.11351330142981299 	 0.10729227733436628 	 0.11457625228744098 
330.0  	 0.11338154050458865 	 0.10716111667739452 	 0.11444326144157044 
331.0  	 0.11325023564646625 	 0.10703046907247274 	 0.11431073090368013 
332.0  	 0.11311938425816008 	 0.10690033091144821 	 0.11417865806445268 
333.0  	 0.11298898376279971 	 0.1067706986231216 	 0.11404704033489446 
334.0  	 0.11285903160372847 	 0.10664156867274742 	 0.11391587514613787 
335.0  	 0.11272952524430466 	 0.10651293756154381 	 0.11378515994924668 
336.0  	 0.11260046216770482 	 0.10638480182620988 	 0.11365489221502305 
337.0  	 0.11247183987672954 	 0.10625715803845116 	 0.11352506943381686 
338.0  	 0.11234365589361113 	 0.1061300028045133 	 0.11339568911533723 
339.0  	 0.11221590775982361 	 0.10600333276472292 	 0.11326674878846586 
340.0  	 0.11208859303589526 	 0.10587714459303676 	 0.11313824600107306 
341.0  	 0.11196170930122293 	 0.10575143499659785 	 0.11301017831983524 
342.0  	 0.11183525415388826 	 0.10562620071529867 	 0.11288254333005454 
343.0  	 0.1117092252104768 	 0.10550143852135234 	 0.11275533863548098 
344.0  	 0.11158362010589841 	 0.10537714521886989 	 0.11262856185813594 
345.0  	 0.11145843649320995 	 0.10525331764344482 	 0.11250221063813776 
346.0  	 0.11133367204344038 	 0.10512995266174475 	 0.11237628263352983 
347.0  	 0.11120932444541719 	 0.10500704717110865 	 0.11225077552010974 
348.0  	 0.1110853914055953 	 0.10488459809915177 	 0.11212568699126094 
349.0  	 0.11096187064788773 	 0.1047626024033761 	 0.11200101475778612 
350.0  	 0.11083875991349822 	 0.1046410570707872 	 0.11187675654774229 
351.0  	 0.11071605696075565 	 0.10451995911751745 	 0.11175291010627786 
352.0  	 0.11059375956495032 	 0.1043993055884547 	 0.11162947319547128 
353.0  	 0.11047186551817265 	 0.1042790935568779 	 0.11150644359417206 
354.0  	 0.11035037262915254 	 0.10415932012409689 	 0.11138381909784258 
355.0  	 0.11022927872310152 	 0.10403998241909929 	 0.11126159751840244 
356.0  	 0.11010858164155679 	 0.1039210775982024 	 0.11113977668407454 
357.0  	 0.10998827924222573 	 0.10380260284471017 	 0.11101835443923203 
358.0  	 0.10986836939883393 	 0.10368455536857626 	 0.11089732864424798 
359.0  	 0.10974885000097317 	 0.10356693240607164 	 0.11077669717534583 
360.0  	 0.10962971895395279 	 0.10344973121945794 	 0.11065645792445225 
361.0  	 0.10951097417865108 	 0.1033329490966654 	 0.11053660879905086 
362.0  	 0.1093926136113696 	 0.10321658335097593 	 0.1104171477220381 
363.0  	 0.10927463520368862 	 0.1031006313207112 	 0.11029807263158052 
